plot,general,focal,lat,lon,easting,northing,elevation
cof1,cof,N,-3.24296232248943,37.2510601097466,305570.1448,9641685.5932,1303.0789
cof2,cof,N,-3.23315503238456,37.2692420822212,307589.21,9642773.7823,1353.4817
cof3,cof,Y,-3.24783674798402,37.3202960510367,313266.4639,9641159.5297,1287.8853
cof4,cof,N,-3.28101948906963,37.3223719710416,313503.3149,9637491.4963,1134.4414
cof5,cof,N,-3.27512597068384,37.4703700838723,329950.4442,9638168.6829,1668.7827
cof6,cof,N,-3.23243469315937,37.3412459919588,315592.1576,9642866.7448,1516.34
emg0,emg,N,,,,,
fed1,fed,Y,-3.08539241511906,37.2794209336124,308693.5691,9659116.4881,3497.85
fed2,fed,N,-3.13390000937057,37.3702240559748,318795.712,9653768.3327,3801.28
fed3,fed,N,-3.1287722917258,37.4352178835687,326019.1376,9654346.2533,3980.13
fed4,fed,N,-3.14247027865704,37.4331139280853,325787.5394,9652830.9201,3749.26
fed5,fed,N,-3.13652838039875,37.43297011273,325770.5501,9653487.9313,3874.97
fer0,fer,Y,-3.0807024011607,37.2926520514115,310163.5573,9659636.7125,3956.091
fer1,fer,N,-3.09369750520232,37.3096930072167,312060.1875,9658202.5028,3891.9727
fer2,fer,N,-3.10737551572288,37.3183499086261,313024.9171,9656691.6146,3614.546
fer3,fer,N,-3.10253436082007,37.3220959530099,313440.4592,9657228.136,3888.166
fer4,fer,N,-3.11147191592002,37.3182590861768,313015.5214,9656239.2117,3419.8628
fer5,fer,N,,,,,3995.1394
flm1,flm,Y,-3.1674929706227,37.2362730979861,303912.2072,9650029.4389,1916.2699
flm2,flm,N,-3.21177436485004,37.3433709498485,315824.6298,9645152.4826,1832.9033
flm3,flm,N,-3.26030298284786,37.4177739297453,324102.5709,9639798.6663,1779.7103
flm4,flm,N,-3.25767521731008,37.4202580418944,324378.1832,9640089.8028,1830.2983
flm5,flm,N,,,,,2097.2778
flm6,flm,N,-3.22836150086358,37.5197308989085,335428.4796,9643348.2764,2054.0747
foc0,foc,N,-3.12154336530258,37.2504266760262,305477,9655113,2490.9775
foc1,foc,Y,-3.14483441829898,37.2431350016614,304670.7494,9652536.2673,2149.7058
foc2,foc,N,-3.13680836728216,37.245474977955,304929.3772,9653424.1511,2238.1084
foc3,foc,N,-3.13992415902867,37.3030880117399,311334.1864,9653089.9069,2499.9583
foc4,foc,N,-3.13853499429498,37.3052181373641,311570.7039,9653243.778,2580.6506
foc5,foc,N,-3.17227928520815,37.358315872969,317478.7634,9649522.4738,2741.1382
foc6,foc,N,-3.14469267085674,37.2448737119218,304864,9652552,2166.4624
fod1,fod,N,-3.15109781575352,37.2898948975288,309869.6991,9651851.8689,2184.9587
fod2,fod,Y,-3.18370103715912,37.3583411294475,317483.5485,9648258.7828,2495.3987
fod3,fod,N,-3.22196993761239,37.45470924456,328200.9988,9644044.0064,2285.879
fod4,fod,N,-3.19368762758147,37.514076866804,334794.5465,9647180.7376,2567.7227
fod5,fod,N,-3.2018478871363,37.5158531358246,334993.2356,9646278.5451,2422.159
fpd0,fpd,N,-3.16358629631517,37.3682464512618,318581.0201,9650484.7114,3010.4583
fpd1,fpd,N,-3.12557773038847,37.3117201027548,312291.1451,9654677.8595,2838.2793
fpd2,fpd,Y,-3.16404638102213,37.3675330230809,318501.8092,9650434.4843,2995.9998
fpd3,fpd,N,-3.18983183098617,37.4390071249994,326450.4237,9647594.9812,2792.225
fpd4,fpd,N,-3.18640627235337,37.4403180091044,326595.5615,9647974.03,2818.814
fpd5,fpd,N,-3.17583307036958,37.5191578933243,335356.4188,9649155.5654,2756.4966
fpo0,fpo,N,-3.10396078875496,37.2593344059308,306464,9657059,2771.1655
fpo1,fpo,Y,-3.10354657905219,37.2604010745103,306582.4915,9657105.1745,2832.7522
fpo2,fpo,N,-3.16589251688483,37.362635916577,317957.8217,9650229.057,2937.1492
fpo3,fpo,N,-3.16164296880174,37.3631551106152,318014.7685,9650699.3281,3009.127
fpo4,fpo,N,-3.19358963177139,37.442077126551,326792.2673,9647179.9592,2756.2678
fpo5,fpo,N,-3.17891677743242,37.5126820607055,334637.1501,9648813.6436,2825.4412
gra0,gra,N,-3.18227089061869,37.2427591038591,304635.9569,9648396.2089,1731.6256
gra1,gra,Y,-3.18020005404886,37.2480330308543,305221.8093,9648625.8953,1741.6427
gra2,gra,N,-3.28341434931497,37.4555560442166,328305.4947,9637250.2597,1754.4733
gra3,gra,N,-3.30414945304601,37.5012049481082,333382.0371,9634964.9394,1474.4619
gra4,gra,N,-3.33236220289613,37.5043410067902,333735.2499,9631845.5801,1314.1298
gra5,gra,N,-3.29927020239115,37.6162172681393,346162.1894,9635523.0092,1266.4102
gra6,gra,N,-3.33661678896012,37.5010019215247,333364.9147,9631375.1977,1383.69
hel1,hel,Y,-3.05292091060143,37.2749220316965,308187.6526,9662706.1005,3848.8953
hel2,hel,N,-3.09166818887602,37.324437925786,313698.9149,9658429.7996,4234.163
hel3,hel,N,-3.11581383169513,37.3764341082417,319482.8941,9655769.0918,4283.3853
hel4,hel,N,-3.10357702273427,37.4415829976394,326722.5005,9657132.8918,4396.385
hel5,hel,N,-3.09675080554667,37.4489290533198,327537.9316,9657888.9784,4547.7744
hom1,hom,N,-3.18603549561051,37.2550029581564,305997.6614,9647981.7229,1657.6791
hom2,hom,N,-3.26864228868859,37.3079610108904,311899.3431,9638856.7001,1171.2529
hom3,hom,N,-3.26957592111806,37.4198489011021,324334.7928,9638773.6595,1823.7817
hom4,hom,Y,-3.33748182515765,37.4930341288815,332479.6109,9631277.87,1299.7073
hom5,hom,N,-3.27346819903547,37.6043658070229,344841.2314,9638373.5515,1530.2344
mai0,mai,N,-3.31006379329904,37.2430605058426,304694,9634264,1009.7287
mai1,mai,Y,-3.31051792032588,37.2441790436824,304818.3991,9634213.8246,1008.4872
mai2,mai,N,-3.37858378514207,37.4457420277352,327231.4034,9626724.8656,871.7245
mai3,mai,N,-3.38890441502978,37.5041050576319,333718.5871,9625594.1564,868.8175
mai4,mai,N,-3.36150873642324,37.6128439186661,345797.0088,9628641.1919,962.0432
mai5,mai,N,-3.32406004035105,37.6747670261921,352672.0599,9632790.7833,952.605
mcg0,flm,N,,,,,
mch0,fpo,N,,,,,
mwh0,fpd,N,,,,,
nkw1,nkw,N,-3.18477218905374,37.2406862771648,304406.0354,9648118.9833,1676.1448
sav0,sav,N,-3.31389246443479,37.6872083360542,354053.0439,9633917.3339,952.8452
sav1,sav,N,-3.37476389223691,37.4548851370899,328246.7352,9627148.7668,882.83765
sav2,sav,N,-3.3807257696596,37.4963709512545,332857.7866,9626497.085,1028.1492
sav3,sav,N,-3.33032991912182,37.6431058627067,349154.8593,9632092.7699,1138.7771
sav4,sav,Y,-3.31883409048005,37.6828708744555,353571.7951,9633370.1205,962.8048
sav5,sav,N,-3.3076565289797,37.6840628587976,353702.6091,9634606.2796,942.55334
sun1,cof,N,,,,,1154.3486
sun2,cof,N,,,,,1340.9812
sun3,cof,N,,,,,1332.7849
sun4,cof,N,,,,,1157.254
